name,price,image,description
Coca-Cola,10,Coca-Cola.jpg,Classic refreshing soda.
Corona,20,corona.jpg,Light Mexican beer with a crisp taste.
Budweiser,20,budweiser.jpg,American lager known for its smoothness.
Franziskaner,20,franziskaner.jpg,Traditional German wheat beer.
OJ ,30,OJ-8.5.jpg,Fruity drink with 8.5% alcohol content.
OJ ,35,OJ-10.jpg,Strong orange drink with 10% ABV.
OJ ,35,OJ-12.jpg,Smooth and citrusy 12% strength.
OJ ,40,OJ-14.jpg,Powerful and zesty at 14%.
OJ ,40,OJ-16.jpg,Fruity beverage with a bold 16% punch.
OJ ,40,OJ-18.jpg,Highest strength orange drink at 18%.
